id,name,gender,age,education,profession,income,living_with,nation,phone,job,fb_freq,yt_freq,insta_freq,use_less_than_2GB,use_2GB_to_4GB
11156,Rachel Gibbs,Female,21,None,Unemployed,39100$,Unmarrie d_2,AUSTRALIA,(08)-8012-7556,Astronomer,0,0,9,8,3
4297,Karen Anderson,Other,22,None,Unemployed,41000$,U nmarr ied_2,ENGLAND,943-646-5203,Air cabin crew,0,0,23,7,2
13301,김지원,Female,24,None,Unemployed,44300$,Unma rried_1,KOREA,010-4500-9888,기계공학 기술자 및 연구원,0,0,23,5,2
9920,Elisabeth Wähner,Female,24,None,Unemployed,44400$,Un ma rried_1,DENMARK,+49(0) 587406963,Medizininformatiker,0,0,21,7,2
8424,Sra. Maria Luiza Nogueira,Female,25,None,Unemployed,1100000000 VND,U nmarr ied_1,BRAZIL,(084) 0568 1445,Ufólogo,0,0,22,5,3
6771,渡辺 千代,Female,21,None,Unemployed,46400$,Unm  ar ried_1,JAPAN,090-3085-6096,演歌歌手,0,0,14,5,3
15308,Lisa Olson,Female,24,None,Unemployed,1100000000 VND,Unmar r  ied_2,ENGLAND,001-406-807-3242,Trading standards officer,0,0,19,8,2
14139,Susan Ryan,Female,22,None,Unemployed,980000000 VND, Unmarried_2,US,+1-891-222-2144x7858,Pensions consultant,0,0,10,6,3
17824,鈴木 翔太,Other,24,None,Unemployed,1150000000 VND,Unma r ried_2,JAPAN,090-2803-7648,アイドル,0,0,17,6,2
16372,Beverly Lopez,Other,24,None,Unemployed,1180000000 VND,Unma rried_1,ENGLAND,647.614.5318x5041,Land/geomatics surveyor,0,0,11,8,2
1573,张凤兰,Female,23,None,Unemployed,1110000000 VND, Unma   rried_2,CHINA,15909858373,网站策划,0,0,16,8,1
11835,Dipl.-Ing. Bozena Reichmann,Female,23,None,Unemployed,43400$,Unmarried_2,DENMARK,06548 209250,Medizininformatiker,0,0,22,6,3
19253,Christine Coffey,Female,22,None,Unemployed,47500$,U  nmarr ied_1,US,953-968-9491,Homeopath,0,0,23,8,1
10399,Jessica Ali,Female,21,None,Unemployed,1130000000 VND,Unm arr ied_1,ENGLAND,842-865-1842,Barista,0,0,23,5,3
3502,Susan Peters,Female,25,None,Unemployed,40400$,Unma rried_1,US,001-815-515-6483x2628,Volunteer coordinator,0,0,16,4,3
3051,小川 智也,Male,25,Bachelor,Architecture & Engineering,1680000000 VND,  S i ngle_0,JAPAN,090-7082-4681,司法書士,0,0,8,5,0
17620,Nick Mühle-Klemm,Male,24,Bachelor,Architecture & Engineering,74000$, Si  ngle_0,DENMARK,+49(0)0577342291,Mechaniker,0,1,7,5,0
